Rater,Estimate,SE,Count,Infit MS,Outfit MS
1930,-1.336,0.194,10,1.042,2.872
1943,1.925,0.369,10,14.48,18.56
1952,-0.116,0.14,10,0.676,0.496
1956,2.012,0.279,10,3.982,4.604
1957,-0.744,0.527,20,2.929,6.325
1959,2.504,0.421,10,1.798,2.215
1964,1.875,0.316,10,1.513,0.988
1977,-0.037,0.133,10,1.086,0.915
1997,-1.651,0.211,10,0.62,0.532
1998,1.799,0.197,10,1.156,0.878
1999,-1.093,0.194,10,1.871,1.746
2040,0.087,0.119,10,0.935,0.935
205,3.105,0.866,10,0.978,0.65
2051,-0.686,0.178,10,2.825,2.152
2055,-0.277,0.15,10,4.734,4.238
2065,1.557,0.15,10,1.836,1.62
2086,-1.181,0.188,10,3.589,5.28
2089,-1.251,0.199,10,1.508,1.133
2098,-0.873,0.163,10,0.431,0.4
2178,0.223,0.103,10,0.764,0.804
2194,-0.934,0.188,10,1.075,0.946
2204,0.741,0.046,10,0.972,0.876
2225,-1.302,0.199,10,8.999,14.362
2234,0.032,0.114,10,1.018,0.93
2276,-1.4,0.157,20,3.41,3.082
2277,-2.824,0.219,10,5.906,2.82
2298,2.344,0.52,10,2.674,3.754
23,-1.468,0.204,10,1.578,1.914
2302,-2.541,0.212,10,5.788,2.366
2307,0.808,0.036,10,1.176,1.005
2311,-0.388,0.158,10,1.048,0.664
2346,0.821,0.038,10,1.758,1.582
2358,-0.97,0.188,10,0.869,0.768
2366,-0.148,0.141,10,0.391,0.359
238,-2.993,0.225,10,1.607,1.508
2390,2.298,0.393,10,2.035,2.108
2406,1.885,0.408,10,3.398,2.429
2414,-2.588,0.22,10,9.092,6.682
2439,2.303,0.403,10,2.483,2.488
2478,1.115,0.06,10,19.191,18.517
2490,0.465,0.082,10,0.758,0.788
25,0.873,0.028,10,0.252,0.323
2514,1.549,0.142,10,0.549,0.434
2532,3.193,0.878,10,2.415,2.008
254,2.317,0.556,10,0.124,0.11
2550,-0.426,0.163,10,2.61,2.072
2563,0.393,0.083,10,1.372,1.212
2570,-2.044,0.198,10,0.971,2.023
2575,0.991,0.026,10,0.718,0.496
2624,1.681,0.274,10,1.275,1.716
2635,-1.868,0.205,10,0.668,0.614
2645,-1.413,0.204,10,0.253,0.235
2648,2.732,0.724,10,4.224,4.816
2654,0.949,0.024,10,0.266,0.244
2661,0.744,0.042,10,0.488,0.507
2671,-2.079,0.204,10,1.904,1.628
2689,0.552,0.067,10,5.854,5.671
2700,2.527,0.588,10,0.647,0.476
2711,2.112,0.294,10,2.036,2.327
2765,2.045,0.407,10,2.669,2.506
2775,1.026,0.026,10,0.856,0.599
2780,0.311,0.096,10,0.96,0.967
2803,-1.271,0.199,10,0.813,0.808
2808,-0.756,0.18,10,1.249,1.196
283,-2.083,0.221,10,2.086,5.496
2852,1.765,0.382,10,19.886,25.233
2865,-0.029,0.126,10,3.59,2.199
2878,2.088,0.308,10,1.188,0.97
2890,0.311,0.092,10,1.647,2.992
2895,2.51,0.549,10,4.138,2.802
290,2.277,0.508,10,4.266,3.411
2911,2.068,0.415,10,4.183,5.308
2920,-0.725,0.169,10,0.691,0.618
